id,name,description
1,Комедия,"жанр художественного произведения, характеризующийся юмористическим или сатирическим подходами, и также вид драмы, в котором специфически разрешается момент действенного конфликта или борьбы. Является противоположным жанром трагедии."
2,Ужасы,"Ужасы или хоррор (англ. horror) — жанр фантастики, который предназначен устрашить, напугать, шокировать или вызвать отвращение у своих читателей или зрителей, вызвав у них чувства ужаса и шока."
3,Триллер,"Три́ллер (от англ. thrill — трепет, волнение) — жанр произведений литературы и кино, нацеленный вызвать у зрителя или читателя чувства тревожного ожидания, волнения или страха. Жанр не имеет чётких границ, элементы триллера присутствуют во многих произведениях разных жанров."
4,Драма,"В отличие от лирики и подобно эпосу, драма воспроизводит прежде всего внешний мир — взаимоотношения между людьми, их поступки, возникающие конфликты. В отличие от эпоса, она имеет не повествовательную, а диалогическую форму. Эстетический предмет драмы — эмоционально-волевые реакции человека, проявленные в словесно-физических действиях. Для драматических произведений характерны остро-конфликтные ситуации, властно побуждающие персонажа к словесно-физическому действию. Драмы специфически изображают, как правило, частную жизнь человека и его социальные конфликты. При этом акцент часто делается на общечеловеческих противоречиях, воплощённых в поведении и поступках конкретных персонажей. "
5,Криминал,"жанр кинематографа, где недавно совершенное или готовящееся преступление является основой сюжета."
6,Мелодрама,"жанр художественной литературы, театрального искусства и кинематографа, произведения которого раскрывают духовный и чувственный мир героев в особенно ярких эмоциональных обстоятельствах на основе контрастов: добро и зло, любовь и ненависть и тому подобного."
