iter	Passed	Remaining
406	5327	7762
407	5339	7747
408	5351	7733
409	5362	7717
410	5373	7700
411	5385	7686
412	5396	7670
413	5407	7653
414	5418	7637
415	5429	7622
416	5441	7607
417	5452	7592
418	5465	7577
419	5480	7567
420	5496	7559
421	5510	7547
422	5522	7532
423	5534	7518
424	5545	7502
425	5556	7487
426	5568	7472
427	5581	7459
428	5593	7444
429	5605	7430
430	5618	7418
431	5631	7404
432	5645	7392
433	5658	7379
434	5671	7365
435	5685	7355
436	5700	7344
437	5714	7331
438	5727	7318
439	5739	7304
440	5750	7289
441	5763	7276
442	5775	7262
443	5789	7249
444	5802	7236
445	5813	7220
446	5824	7206
447	5836	7191
448	5849	7177
449	5860	7163
450	5874	7151
451	5886	7137
452	5901	7126
453	5913	7111
454	5924	7096
455	5935	7081
456	5946	7066
457	5957	7050
458	5968	7035
459	5980	7020
460	5991	7004
461	6001	6988
462	6012	6973
463	6023	6958
464	6034	6942
465	6045	6927
466	6056	6913
467	6068	6898
468	6081	6885
469	6094	6872
470	6107	6859
471	6119	6845
472	6130	6830
473	6142	6816
474	6153	6801
475	6165	6787
476	6177	6772
477	6187	6757
478	6198	6742
479	6210	6727
480	6221	6713
481	6233	6699
482	6245	6685
483	6258	6672
484	6271	6659
485	6283	6645
486	6295	6631
487	6309	6619
488	6321	6606
489	6335	6593
490	6345	6578
491	6357	6563
492	6368	6549
493	6380	6535
494	6391	6520
495	6402	6505
496	6413	6491
497	6424	6476
498	6435	6461
499	6446	6446
500	6458	6432
501	6469	6418
502	6480	6403
503	6493	6390
504	6508	6379
505	6520	6365
506	6533	6353
507	6545	6339
508	6557	6325
509	6569	6312
510	6581	6298
511	6593	6283
512	6603	6269
513	6614	6254
514	6625	6239
515	6636	6224
516	6647	6210
517	6659	6196
518	6670	6181
519	6681	6167
520	6694	6154
521	6707	6142
522	6720	6129
523	6733	6116
524	6745	6102
525	6756	6088
526	6768	6074
527	6780	6061
528	6791	6046
529	6801	6031
530	6813	6018
531	6825	6004
532	6836	5989
533	6847	5975
534	6859	5961
535	6869	5947
536	6882	5934
537	6897	5923
538	6908	5909
539	6920	5895
540	6933	5882
541	6945	5869
542	6957	5855
543	6969	5842
544	6980	5828
545	6991	5813
546	7003	5800
547	7014	5785
548	7025	5771
549	7037	5757
550	7048	5743
551	7059	5729
552	7072	5716
553	7084	5703
554	7099	5692
555	7112	5679
556	7122	5664
557	7133	5650
558	7145	5637
559	7156	5622
560	7167	5609
561	7179	5595
562	7191	5581
563	7202	5567
564	7214	5554
565	7227	5542
566	7238	5527
567	7250	5514
568	7262	5501
569	7274	5487
570	7286	5474
571	7300	5462
572	7313	5449
573	7326	5437
574	7338	5424
575	7349	5410
576	7361	5396
577	7372	5382
578	7383	5368
579	7393	5354
580	7404	5340
581	7415	5326
582	7426	5312
583	7439	5299
584	7450	5285
585	7461	5271
586	7473	5258
587	7486	5245
588	7499	5233
589	7511	5220
590	7524	5207
591	7537	5194
592	7549	5181
593	7560	5167
594	7571	5153
595	7582	5139
596	7593	5126
597	7605	5112
598	7616	5098
599	7627	5085
600	7639	5071
601	7650	5058
602	7661	5044
603	7673	5030
604	7685	5018
605	7701	5007
606	7713	4994
607	7726	4981
608	7739	4969
609	7752	4956
610	7765	4943
611	7776	4930
612	7787	4916
613	7798	4902
614	7810	4889
615	7820	4875
616	7831	4861
617	7842	4847
618	7854	4834
619	7865	4820
620	7876	4806
621	7888	4793
622	7903	4782
623	7916	4770
624	7929	4757
625	7940	4743
626	7951	4730
627	7962	4716
628	7973	4702
629	7985	4689
630	7996	4676
631	8007	4662
632	8018	4648
633	8030	4635
634	8040	4621
635	8052	4608
636	8064	4595
637	8074	4581
638	8087	4568
639	8100	4556
640	8115	4544
641	8127	4531
642	8138	4518
643	8149	4504
644	8160	4491
645	8170	4477
646	8182	4464
647	8194	4451
648	8206	4438
649	8219	4425
650	8230	4412
651	8241	4398
652	8253	4385
653	8264	4372
654	8276	4359
655	8289	4346
656	8302	4334
657	8315	4322
658	8328	4309
659	8340	4296
660	8351	4282
661	8362	4269
662	8373	4256
663	8385	4243
664	8396	4229
665	8407	4216
666	8417	4202
667	8428	4188
668	8439	4175
669	8450	4162
670	8461	4148
671	8473	4135
672	8484	4122
673	8497	4110
674	8511	4098
675	8524	4085
676	8536	4073
677	8547	4059
678	8558	4046
679	8570	4033
680	8581	4019
681	8592	4006
682	8603	3993
683	8614	3979
684	8626	3966
685	8637	3953
686	8649	3940
687	8660	3927
688	8672	3914
689	8685	3902
690	8697	3889
691	8710	3876
692	8723	3864
693	8738	3853
694	8752	3840
695	8763	3827
696	8775	3814
697	8787	3802
698	8798	3788
699	8809	3775
700	8820	3762
701	8831	3748
702	8841	3735
703	8853	3722
704	8865	3709
705	8876	3696
706	8888	3683
707	8902	3671
708	8917	3660
709	8929	3647
710	8939	3633
711	8951	3620
712	8963	3607
713	8974	3594
714	8986	3581
715	8996	3568
716	9007	3555
717	9018	3542
718	9028	3528
719	9040	3515
720	9051	3502
721	9062	3489
722	9074	3476
723	9086	3463
724	9098	3451
725	9111	3438
726	9124	3426
727	9136	3413
728	9148	3400
729	9160	3388
730	9172	3375
731	9184	3362
732	9197	3350
733	9209	3337
734	9219	3324
735	9231	3311
736	9242	3298
737	9253	3285
738	9266	3272
739	9278	3259
740	9290	3247
741	9302	3234
742	9316	3222
743	9328	3209
744	9339	3196
745	9351	3183
746	9364	3171
747	9375	3158
748	9386	3145
749	9397	3132
750	9409	3119
751	9420	3106
752	9431	3093
753	9442	3080
754	9453	3067
755	9464	3054
756	9476	3041
757	9487	3028
758	9499	3016
759	9511	3003
760	9525	2991
761	9538	2979
762	9549	2966
763	9561	2953
764	9573	2940
765	9584	2928
766	9596	2915
767	9607	2902
768	9619	2889
769	9630	2876
770	9642	2863
771	9654	2851
772	9668	2839
773	9680	2826
774	9693	2814
775	9705	2801
776	9718	2789
777	9735	2777
778	9746	2765
779	9759	2752
780	9771	2740
781	9782	2727
782	9794	2714
783	9805	2701
784	9816	2688
785	9827	2675
786	9838	2662
787	9850	2650
788	9861	2637
789	9873	2624
790	9885	2611
791	9897	2599
792	9910	2586
793	9923	2574
794	9935	2561
795	9947	2549
796	9958	2536
797	9970	2523
798	9981	2510
799	9992	2498
800	10004	2485
801	10015	2472
802	10026	2459
803	10037	2446
804	10049	2434
805	10060	2421
806	10070	2408
807	10082	2395
808	10094	2383
809	10105	2370
810	10119	2358
811	10133	2346
812	10145	2333
813	10158	2321
814	10170	2308
815	10184	2296
816	10195	2283
817	10206	2270
818	10217	2258
819	10228	2245
820	10239	2232
821	10251	2219
822	10262	2207
823	10273	2194
824	10285	2181
825	10297	2169
826	10309	2156
827	10321	2144
828	10334	2131
829	10347	2119
