iter	Logloss
0	0.601813834
1	0.5117897968
2	0.4550663488
3	0.4109981167
4	0.358640122
5	0.3283924137
6	0.3068409589
7	0.2872778334
8	0.2702367499
9	0.2568041807
10	0.2460247118
11	0.2371696389
12	0.2227434235
13	0.2113299603
14	0.2019335509
15	0.1969024972
16	0.1919289179
17	0.1882536691
18	0.1816900175
19	0.178104641
20	0.1737656727
21	0.1703700516
22	0.1682453816
23	0.1654591293
24	0.1627966318
25	0.160992091
26	0.1566222961
27	0.154340211
28	0.1530955158
29	0.1511831884
30	0.149958644
31	0.1476611725
32	0.1463307271
33	0.1445326092
34	0.1433024454
35	0.1420345338
36	0.1411671562
37	0.1401499103
38	0.1387327099
39	0.1379036938
40	0.1355499836
41	0.1347922032
42	0.1339063975
43	0.1331960304
44	0.1325331791
45	0.1320484905
46	0.1312922924
47	0.1308534333
48	0.1304499036
49	0.1290857674
50	0.1285641833
51	0.1279383097
52	0.1266798133
53	0.1261624605
54	0.1254416322
55	0.1247782376
56	0.1244020154
57	0.1235970722
58	0.1232182829
59	0.1226452053
60	0.122269157
61	0.1214249523
62	0.1208996481
63	0.1203192478
64	0.1198558394
65	0.1187524509
66	0.1178549973
67	0.1174840956
68	0.1170952377
69	0.1166892205
70	0.1162725726
71	0.1159283603
72	0.1156946044
73	0.1150785267
74	0.1140660022
75	0.1137785699
76	0.1136118733
77	0.1132585162
78	0.1122900748
79	0.1118528319
80	0.1116394007
81	0.111517867
82	0.1111762603
83	0.1104303553
84	0.1098363997
85	0.1095967151
86	0.109240187
87	0.1090339719
88	0.1087633768
89	0.1082820105
90	0.108002293
91	0.1077066199
92	0.1071709626
93	0.1069357635
94	0.1062695639
95	0.1057475085
96	0.1053008743
97	0.1050500502
98	0.1045575016
99	0.104275996
100	0.1041223282
101	0.1040453701
102	0.1039201924
103	0.1037396372
104	0.1033325306
105	0.1029766411
106	0.102468692
107	0.1023253859
108	0.1021876659
109	0.1020258096
110	0.1018150463
111	0.101753383
112	0.1015719439
113	0.101454809
114	0.1012239183
115	0.1011298663
116	0.1010112652
117	0.1002583955
118	0.1000151389
119	0.09985529931
120	0.09968333706
121	0.09941800092
122	0.09920869409
123	0.09891062621
124	0.09854546517
125	0.09844133792
126	0.09814829496
127	0.09786275214
128	0.09765682202
129	0.09742257556
130	0.09728681877
131	0.09713177598
132	0.09706683273
133	0.09685767445
134	0.09672006025
135	0.09658818256
136	0.09647785715
137	0.09635621662
138	0.09618145739
139	0.09586127588
140	0.09568526438
141	0.09532090837
142	0.09511613533
143	0.09491278599
144	0.09441905988
145	0.09429022121
146	0.09413926864
147	0.09404908989
148	0.09385341241
149	0.09368872558
150	0.09349604998
151	0.09338635015
152	0.0933203862
153	0.09318902107
154	0.09301934281
155	0.09298401373
156	0.09262279725
157	0.09248081404
158	0.09241377127
159	0.09228298544
160	0.09210509632
161	0.0919349999
162	0.09183248674
163	0.09161204131
164	0.09123109544
165	0.09113650383
166	0.09096693949
167	0.09091038164
168	0.09058815588
169	0.09047027371
170	0.09035736844
171	0.09026220627
172	0.09015984822
173	0.09006505702
174	0.0898673054
175	0.08976094905
176	0.08971637936
177	0.08965012255
178	0.08949465769
179	0.08940625513
180	0.08924321999
181	0.08913854924
182	0.08902153028
183	0.08896312144
184	0.08882048853
185	0.08874760913
186	0.08861819505
187	0.08841069162
188	0.08836504313
189	0.08829230234
190	0.08822628966
191	0.08816906077
192	0.08810494797
193	0.08792838164
194	0.08787879933
195	0.08777812788
196	0.08774402132
197	0.08755958388
198	0.08740727131
199	0.08733356585
200	0.08723324424
201	0.08714861669
202	0.08706123536
203	0.08701800039
204	0.08694466369
205	0.08685629986
206	0.08679294625
207	0.08666415318
208	0.08664317383
209	0.08653594876
210	0.08646597671
211	0.08638135963
212	0.08632322835
213	0.08621573402
214	0.08613957881
215	0.08591169396
216	0.08590307712
217	0.08586243177
218	0.08580860372
219	0.08568562692
220	0.08564125064
221	0.08544489147
222	0.08530869
223	0.08523042345
224	0.08514099666
225	0.0850395853
226	0.0849786128
227	0.08477345721
228	0.08471425533
229	0.08462605419
230	0.0844766433
231	0.08444008183
232	0.08438373925
233	0.08428204297
234	0.08411626609
235	0.08399997905
236	0.08396766013
237	0.08389548031
238	0.08385452921
239	0.08382511444
240	0.08380583921
241	0.08373315586
242	0.08368346574
243	0.08355670498
244	0.08353099617
245	0.08349569333
246	0.08341891953
247	0.08334602372
248	0.08330063026
249	0.08313560124
250	0.08310194752
251	0.08297143237
252	0.08286873098
253	0.08275673278
